组号,组内序号,题号,题干,正确答案,选项,分组题干,组内条数,组内答案种数,已标记问题题
1,1/238,q_gB-xrMqimlof,这个标志是何含义？,路面不平,路面低洼 | 驼峰桥 | 路面不平 | 路面高突,这个标志是何含义,238,217,
1,2/238,q_SojxCveLr69G,这个标志是何含义？,驼峰桥,不平路面 | 驼峰桥 | 路面高突 | 路面低洼,这个标志是何含义,238,217,
1,3/238,q_E-1sYHpOteo8,这个标志是何含义？,渡口,过水路面 | 漫水桥 | 渡口 | 船用码头,这个标志是何含义,238,217,
1,4/238,q_1Kp96wWnfDld,这个标志是何含义？,隧道,涵洞 | 水渠 | 桥梁 | 隧道,这个标志是何含义,238,217,
1,5/238,q_2UBIsOAIpRu0,这个标志是何含义？,村庄或集镇,注意行人 | 有人行横道 | 村庄或集镇 | 有小学校,这个标志是何含义,238,217,
1,6/238,q_WvcGhahk5kkE,这个标志是何含义？,堤坝路,堤坝路 | 临崖路 | 易滑路 | 傍水路,这个标志是何含义,238,217,
1,7/238,q_RqiCta9fjzPA,这个标志是何含义？,易滑路段,急转弯路 | 易滑路段 | 试车路段 | 曲线路段,这个标志是何含义,238,217,
1,8/238,q_yglrygdjTnR1,这个标志是何含义？,注意横风,注意横风 | 风向标 | 隧道入口 | 气象台,这个标志是何含义,238,217,
1,9/238,q_yLJKW1sV7rAs,这个标志是何含义？,注意落石,傍山险路 | 悬崖路段 | 注意落石 | 危险路段,这个标志是何含义,238,217,
1,10/238,q_PNHg-jFSWnuh,这个标志是何含义？,注意信号灯,交叉路口 | 注意信号灯 | 注意行人 | 人行横道灯,这个标志是何含义,238,217,
1,11/238,q_f4Mmyz-3RRSE,这个标志是何含义？,注意野生动物,注意野生动物 | 注意牲畜 | 动物公园 | 开放的牧区,这个标志是何含义,238,217,
1,12/238,q_9xubD_TEwIKy,这个标志是何含义？,注意牲畜,大型畜牧场 | 野生动物保护区 | 注意野生动物 | 注意牲畜,这个标志是何含义,238,217,
1,13/238,q_1RJH2dEuEc8t,这个标志是何含义？,注意行人,人行横道 | 注意行人 | 注意儿童 | 学校区域,这个标志是何含义,238,217,
1,14/238,q_e10rOdSQjAIZ,这个标志是何含义？,双向交通,双向交通 | 分离式道路 | 潮汐车道 | 减速让行,这个标志是何含义,238,217,
1,15/238,q_C3tn_U8cs_ZV,这个标志是何含义？,窄桥,窄路 | 右侧变窄 | 左侧变窄 | 窄桥,这个标志是何含义,238,217,
1,16/238,q_rqROE8geOuBY,这个标志是何含义？,避险车道,避险车道 | 应急车道 | 路肩 | 急弯道,这个标志是何含义,238,217,
1,17/238,q_gM_Aat5vR04a,这个标志是何含义？,注意合流,Y形交叉口 | 主路让行 | 注意分流 | 注意合流,这个标志是何含义,238,217,
1,18/238,q_J2agoheyzHXN,这个标志是何含义？,注意分离式道路,注意交互式道路 | 注意分离式道路 | 平面交叉路口 | 环形平面交叉,这个标志是何含义,238,217,
1,19/238,q_DuBdNaduY5On,这个标志是何含义？,注意保持车距,注意保持车距 | 车距确认路段 | 车速测试路段 | 两侧变窄路段,这个标志是何含义,238,217,
1,20/238,q_s960UXuYEwCG,这个标志是何含义？,注意潮汐车道,注意双向行驶 | 靠两侧行驶 | 可变车道 | 注意潮汐车道,这个标志是何含义,238,217,
1,21/238,q_ulU5eEK5xqns,这个标志是何含义？,隧道开灯,隧道开远光灯 | 隧道减速 | 隧道开灯 | 隧道开示宽灯,这个标志是何含义,238,217,
1,22/238,q_qjYBmmPFclVg,这个标志是何含义？,建议速度,建议速度 | 最低速度 | 最高速度 | 限制速度,这个标志是何含义,238,217,
1,23/238,q_tHptZ70kDkxU,这个标志是何含义？,施工路段,塌方路段 | 施工路段 | 前方工厂 | 道路堵塞,这个标志是何含义,238,217,
1,24/238,q_OYSouRxZFqnY,这个标志是何含义？,注意危险,事故多发路段 | 减速慢行 | 注意危险 | 拥堵路段,这个标志是何含义,238,217,
1,25/238,q_VvbPC8t-RNna,这个标志是何含义？,左右绕行,施工路段绕行 | 双向交通 | 注意危险 | 左右绕行,这个标志是何含义,238,217,
1,26/238,q_4RmE6wYK8QZe,这个标志是何含义？,慢行,施工路段 | 车多路段 | 慢行 | 拥堵路段,这个标志是何含义,238,217,
1,27/238,q_3iGkVQCOgXxM,这个标志是何含义？,事故易发路段,施工路段 | 事故易发路段 | 减速慢行路段 | 拥堵路段,这个标志是何含义,238,217,
1,28/238,q_HZx6C7Jj6DnP,这个标志是何含义？,注意残疾人,注意残疾人 | 残疾人出入口 | 残疾人休息处 | 残疾人专用通道,这个标志是何含义,238,217,
1,29/238,q_WWHLUCGbVaLt,这个标志是何含义？,注意非机动车,避让非机动车 | 非机动车道 | 禁止非机动车通行 | 注意非机动车,这个标志是何含义,238,217,
1,30/238,q_65bLc3wr1Zqr,这个标志是何含义？,距无人看守铁路道口150米,距有人看守铁路道口150米 | 距无人看守铁路道口150米 | 距无人看守铁路道口100米 | 距有人看守铁路道口100米,这个标志是何含义,238,217,
