序号,题干,选项,来源,同一题干条数,记录ID,图片(待填路径),备注
1,这个标志是何含义？,提醒车辆驾驶人前方道路沿水库、湖泊、河流 | 提醒车辆驾驶人前方有向下的陡坡路段 | 提醒车辆驾驶人前方有向上的陡坡路段 | 提醒车辆驾驶人前方有两个及以上的连续上坡路段,残缺队列+题库缺图,236,"q_bniAeDtHp6B1,qi_item_y7HD9BOCRPGH",,
2,这个标志是何含义？,货车靠右行驶 | 禁止货车通行 | 指示大型货车靠右行驶 | 指示货车靠右行驶,题库缺图,236,q_-WdsdNFeLYDN,,
3,这个标志是何含义？,公交 | 出租车专用停车位 | 公交车专用停车位 | 校车专用停车位,题库缺图,236,q_aH8FSKnMVQgb,,
4,这个标志是何含义？,快速公交 | 公交车专用车道 | 快速公交系统（BRT）车辆专用车道 | 大型客车专用车道,题库缺图,236,q_SqG3m16pk6uC,,
5,这个标志是何含义？,电子收费ETC | 高速公路ETC车道指引 | 高速公路领卡车道指引 | 高速公路缴费车道指引,题库缺图,236,q_Rg1WjPWgrQr6,,
6,这个标志是何含义？,天目湖 | 高速公路收费站预告 | 高速公路服务区预告 | 高速公路避险处预告,题库缺图,236,q_DwFty13GG1ge,,
7,这个标志是何含义？,60km/h | 高速公路特殊天气最高速度 | 高速公路特殊天气建议速度 | 高速公路特殊天气最低速度,题库缺图,236,q_PxObAwd8OzrL,,
8,这个标志是何含义？,国家高速G15 | 高速公路起点 | 高速公路出口 | 高速公路入口,题库缺图,236,q_BzQLgBeP6KBs,,
9,这个标志是何含义？,休息区 | 停车场 | 观景台 | 服务区,残缺队列+题库缺图,236,"q_Ost1vm0kzzE7,qi_item_fGk6ILLpbwAJ",,
10,这个标志是何含义？,16灵山km | 旅游区类别 | 旅游区距离 | 旅游区方向,题库缺图,236,q_Jinq18MFLh98,,
11,这个标志是何含义？,提醒车辆驾驶人前方有两个及以上的连续上坡路段 | 提醒车辆驾驶人前方有向上的陡坡路段 | 提醒车辆驾驶人前方有向下的陡坡路段 | 提醒车辆驾驶人前方有两个及以上的连续下坡路段,残缺队列+题库缺图,236,"q_j2gUZInlgCTI,qi_item_I2bcyEoDZJ0d",,
12,这个标志是何含义？,马驹桥廊坊大羊坊 | 十字交叉路口告知 | 互通式立体交叉告知 | CY形交叉路口告知,题库缺图,236,q_oKk8AXUJbLXy,,
13,这个标志是何含义？,3 | 解除3米限宽 | B限制高度为3米 | 预告宽度为3米,题库缺图,236,q_TDMuKFdXsP3J,,
14,这个标志是何含义？,悬崖路段 | 注意落石 | 危险路段,题库缺图,236,q_nddbdTmB-jWZ,,
15,这个标志是何含义？,前方左转 | 车道数减少 | 硬路肩允许行驶即将结束 | 分流处,题库缺图,236,q_08kKtXCQJwPg,,
16,这个标志是何含义？,大型货车靠右行驶 | 只允许小型汽车行驶 | 只允许货车通行 | 指示大型货车通行,题库缺图,236,q_ZnLXW9gc26R5,,
17,这个标志是何含义？,指示行人骑行通过 | 指示行人推行通过 | 指示非机动车与行人共享空间通行 | 指示非机动车与行人分开空间通D行,题库缺图,236,q_lwmSrI-OuCFH,,
18,这个标志是何含义？,非机动车车道 | 电动自行车车道 | 非机动车行驶 | 电动自行车行驶,题库缺图,236,q_plonKfWoMhXZ,,
19,这个标志是何含义？,出租车专用车道 | 小型客车车道 | 机动车车道 | 多乘员车辆专用车道,题库缺图,236,q_q5Qfjn28fFW_,,
20,这个标志是何含义？,前方路口不能右转 | 前方路口不能直行 | 前方是十字路口 | 前方路口不能左转,题库缺图,236,q_YpzCEUmt3ihs,,
21,这个标志是何含义？,警告标志 | 禁令标志 | 指示标志 | 指路标志,题库缺图,236,q_rjKqw_6xLqQi,,
22,这个标志是何含义？,对面可能会有来车 | 可直接驶入此路段 | 不准驶入前方路段 | 进入此路段要减速,题库缺图,236,q_yVJYhVASSLr5,,
23,这个标志是何含义？,S203 | 国道编号 | 省道编号 | 县道编号,题库缺图,236,q_9Mpy2d-Vyi6y,,
24,这个标志是何含义？,马驹桥廊坊大羊坊 | ）十字交叉路口告知 | 互通式立体交叉告知 | CY形交叉路口告知,题库缺图,236,q_L6vNtfuXFuNS,,
25,这个标志是何含义？,王平 | 新屿 | 环型交叉路口告知 | ）十字交叉路口告知,题库缺图,236,q_ES_KSlLGwWoB,,
26,这个标志是何含义？,T形交叉路口 | BY形交叉路口 | 十字交叉路口 | 环形交叉路口,题库缺图,236,q_TnZU7VvZPQrD,,
27,这个标志是何含义？,AT形交叉路口 | Y形交叉路口 | 十字交叉路口 | 环形交叉路口,题库缺图,236,q_fEN_yc32Mh2Q,,
28,这个标志是何含义？,提醒车辆驾驶人前方道路沿水A库、湖泊、河流 | 提醒车辆驾驶人前方有向上的陡坡路段 | 提醒车辆驾驶人前方有两个及以上的连续上坡路段 | 提醒车辆驾驶人前方有向下的陡坡路段,题库缺图,236,q_sWuC0pNfkvCe,,
29,这个标志是何含义？,家高速G15 | 汕头深圳 | 入口500m | 高速公路终点预告,题库缺图,236,q_g9x0ZZh8i0Ds,,
30,这个标志是何含义？,检查 | 边防检查 | 禁止通行 | 海关检查,题库缺图,236,q_jArIfz12Nx85,,
31,这个标志是何含义？,40 | 限制40吨轴重 | 限制最高时速40公里 | 前方40米减速,题库缺图,236,q_OWwHPB8JB5-L,,
32,这个标志是何含义？,3.5m | 限制高度为3.5米 | 限制宽度为3.5米 | 解除3.5米限高,题库缺图,236,q_BBlw6a4tRXYD,,
33,这个标志是何含义？,3 | A解除3米限宽 | 限制高度为3米 | 预告宽度为3米,题库缺图,236,q_cmURWAkNOmFi,,
34,这个标志是何含义？,公交 | 公交专用车道 | 大型客车专用车道 | 快速公交系统专用车道,题库缺图,236,q_GnagVAvuAUuR,,
35,这个标志是何含义？,分向车道 | 右转车道 | 掉头车道 | 左转车道,题库缺图,236,q_Zp_0oAAd9P2V,,
36,这个标志是何含义？,Pi | 停车点 | 服务站 | 停车场,题库缺图,236,q_F6YUC3ymBa4X,,
37,这个标志是何含义？,电子收费ETC | 高速公路收费处 | ETC收费站入口 | 电子不停车收费车道,题库缺图,236,q_BvnmOcy7-RTk,,
38,这个标志是何含义？,浪网 | 高速公路停车区预告 | 高速公路避险处预告 | 高速公路服务区预告,题库缺图,236,q_qe2HgGeTYJMv,,
39,这个标志是何含义？,正确 | 错误,题库缺图,236,q_qwgwAGOrjyy5,,
40,这个标志是何含义？,救援 | 12122 | 高速公路公用电话 | 高速公路报警电话,题库缺图,236,q_HjknjD5pGOW9,,
41,这个标志是何含义？,60kmh | 高速公路特殊天气最高速度 | 高速公路特殊天气建议速度 | 高速公路特殊天气最低速度,题库缺图,236,q_GQR3IXtga6ni,,
42,这个标志是何含义？,ETC | 高速公路ETC车道 | 高速公路缴费车道 | 高速公路检查车道,题库缺图,236,q_8mpvtg5Ir5SO,,
43,这个标志是何含义？,电子收费ETC | 收费站 | 高速公路领卡处 | 高速公路收费处,题库缺图,236,q_Z_K9iCVzCd4z,,
44,这个标志是何含义？,停车领卡 | 停车缴费 | 停车检查 | ETC通道,残缺队列+题库缺图,236,"q_c3uaSB9h6RVC,qi_item_e8dte16Z0TqK",,
45,这个标志是何含义？,1620 | 道路交通信息 | 高速公路报警电话号码 | 高速公路交通广播频率,题库缺图,236,q_vklzjZ7ydB2S,,
46,这个标志是何含义？,G15 | 高速公路起点 | 高速公路出口 | 高速公路入口,题库缺图,236,q_KW9AXpKxFQlL,,
47,这个标志是何含义？,G1511 | 高速公路起点 | 高速公路出口 | 高速公路入口,题库缺图,236,q_lHgWaVh0Jo8D,,
48,这个标志是何含义？,145出口 | G204 | 如皋 海安 | 高速公路下一出口预告,题库缺图,236,q_-KB9zoAaKF8U,,
49,这个标志是何含义？,下一出口 | 15km | 高速公路下一出口预告 | 高速公路右侧出口预告,题库缺图,236,q_adeGoAqVq3_k,,
50,这个标志是何含义？,国家高速G2 | 京沪高速 | 高速公路界牌编号 | 高速公路里程编号,题库缺图,236,q_A_M2Q9yqBQLr,,
51,这个标志是何含义？,8km璜塘 | 17G42km | 上海25km | 高速公路终点地名预告,题库缺图,236,q_oXwewm7EoU3i,,
52,这个标志是何含义？,G3G3天津济南 | 高速公路右侧出口预告 | 高速公路下一出口预告 | 高速公路地点、方向预告,题库缺图,236,q_HPZW_6Gs7iX6,,
53,这个标志是何含义？,G15 | 汕头深圳 | 入口500m | 高速公路终点预告,题库缺图,236,q_gGAzNQc5rL2w,,
54,这个标志是何含义？,2km | 隧道出口距离 | 隧道入口距离 | 隧道跟车距离,题库缺图,236,q_WZ1a5dPLCOsd,,
55,这个标志是何含义？,违法抓拍 | 减速拍照区 | 道路流量监测 | 全路段抓拍,题库缺图,236,q_rYMqmaMuyJg0,,
56,这个标志是何含义？,此路不通 | BT形路口 | 分流路口 | 减速通行,题库缺图,236,q_zuqzv3T9iYtc,,
57,这个标志是何含义？,禁止左转 | 此路不通 | 禁止通行 | 超高绕行,残缺队列+题库缺图,236,"q_P-ND9fIt25lY,qi_item_MS3g7Q8kVf3K",,
58,这个标志是何含义？,休息区 | A停车场 | 观景台 | 服务区,题库缺图,236,q_IE1jly7C1hGw,,
59,这个标志是何含义？,横过道路设施 | 应急避难设施（场所） | 生活服务区 | 行人专用通道,题库缺图,236,q_heKJFmm6I-gx,,
60,这个标志是何含义？,观景台 | 停车场 | 休息区 | 停车位,残缺队列+题库缺图,236,"q_mcShXMustOOC,qi_item_740pl04Gnbcy",,
61,这个标志是何含义？,50 | 最高限速50公里/小时 | 最低限速50公里/小时 | 水平高度50米,题库缺图,236,q_HYgs-gj2_fqa,,
62,这个标志是何含义？,立体交叉直行和右转弯行驶 | 立体交叉直行和左转弯行驶 | 直行和左转弯行驶 | 直行和右转弯行驶,题库缺图,236,q_YBB6R2ZmLGZI,,
63,这个标志是何含义？,海关 | DOUANE | 国界 | 边防,题库缺图,236,q_9JTaAvAsUeUv,,
64,这个标志是何含义？,云居寺 | 旅游区类别 | 旅游区距离 | 旅游区方向,题库缺图,236,q_nKIiy6GomZ4M,,
65,这个标志是何含义？,室内停车场 | 露天停车场 | 专用停车场 | 内部停车场,题库缺图,236,q_WTf0_af6stpG,,
66,这个标志是何含义？,2km南直路 | 15km八一路 | 25kmG101 | 地点距离,题库缺图,236,q_rH425pj36Drx,,
67,这个标志是何含义？,国道编号 | 省道编号 | 县道编号 | 乡道编号,题库缺图,236,q_60bQBOdtPFfg,,
68,这个标志是何含义？,X008 | 国道编号 | 省道编号 | 县道编号,题库缺图,236,q_mgBOUX2EmqW_,,
69,这个标志是何含义？,科技公园 | G108G1095209 | 环形交叉路口预告 | 十字交叉路口预告,题库缺图,236,q_DeDYr_rkb7N8,,
70,这个标志是何含义？,王平 | 新屿 | 环型交叉路口告知 | 十字交叉路口告知,题库缺图,236,q_aHgYhk3pTyqD,,
71,这个标志是何含义？,文慧路徐庄路 | AY形交叉路口预告 | 十字交叉路口预告 | 丁字交叉路口预告,题库缺图,236,q_tGcjL3GK3oAF,,
72,这个标志是何含义？,北G2 | 东北路南京路 | 地点和距离预告 | 十字交叉路口预告,题库缺图,236,q_0914cojNjAWS,,
73,这个标志是何含义？,事故 | 注意危险 | 事故易发路段 | 施工路段,题库缺图,236,q_1CXhPUJy83Ev,,
74,这个标志是何含义？,校车 | 禁止校车通行 | 禁止校车停车 | 校车专用停车位、校车停靠站点,题库缺图,236,q_eLp9g908DK3-,,
75,这个标志是何含义？,人行横道 | 注意行人 | 注意儿童 | 学校区域,题库缺图,236,q_1RJH2dEuEc8t,,
76,这个标志是何含义？,只准直行 | 车道数增加 | 硬路肩充许行驶起点 | 分流处,题库缺图,236,q_2jeUqX1GNUFz,,
77,这个标志是何含义？,让 | 不准让行 | 会车让行 | 停车让行,题库缺图,236,q_9uscEHNgZ1b6,,
78,这个标志是何含义？,停 | 不准车辆驶入 | 不准长时间停车 | 停车让行,题库缺图,236,q_DYkaX6_Kcczk,,
79,这个标志是何含义？,A人行横道 | 注意行人 | 注意儿童 | 学校区域,题库缺图,236,q_Ax_nQDb3_G3B,,
80,这个标志是何含义？,A窄路 | 右侧变窄 | 左侧变窄 | 窄桥,题库缺图,236,q_L7IkWBS6fWz2,,
